Id,PostId,Score,Text,CreationDate,UserDisplayName,UserId,ContentLicense
"105375001","59603086","0","The question is answered in [Is is valid to construct std::set of pointer type?](https://stackoverflow.com/questions/53927571/is-is-valid-to-construct-stdset-of-pointer-type)","2020-01-06 00:45:07","","9585016","CC BY-SA 4.0"
"105401207","59618213","1","Obvious idea (don't know if it works): write a proc macro that generates a declarative one, then calls it?","2020-01-06 20:59:54","","3650362","CC BY-SA 4.0"
"105620012","59724711","0","@LanguageLawyer: How would that be relevant? The question is “Is there an X that is not a Y?”, not “Is there an X that is a Y?”","2020-01-14 14:21:09","","298225","CC BY-SA 4.0"
"105637191","59724711","0","@LanguageLawyer: The fact that `void *` is complete shows that a pointer to an incomplete type can be complete. It does not show whether or not a pointer to an incomplete type can be incomplete. If one asked “Can a mammal be an elephant?”, showing that “A lion is a mammal” would not provide that a mammal cannot be an elephant. The question asks whether the set X of pointers to incomplete type may contain an element that is incomplete. Showing that the set X of pointers to incomplete type contains an element that is complete is irrelevant.","2020-01-15 03:07:22","","298225","CC BY-SA 4.0"
"105637499","59724711","0","@EricPostpischil Oops. I've misread the title as ""Can a pointer to an incomplete type be **complete**?""","2020-01-15 03:36:09","","9585016","CC BY-SA 4.0"
"105872050","59869486","1","@Naman Related, but that appears to be the reverse of what Basil is doing in this Q&A.","2020-01-23 01:44:39","","6395627","CC BY-SA 4.0"
"105881021","59869486","3","Another way to get an Iterable would just be to collect to a List.","2020-01-23 09:44:28","","2067492","CC BY-SA 4.0"
"106276889","60079472","0","@greeble31 I tried now. Which solution there do you see working? For some reason I still don't get it to work. I set the alarm, I remove the app from recent tasks, and I don't see the alarm being triggered, even though the screen is turned on and the device is connected to a charger. It happens on both a real device (Pixel 4 with Android 10) and on emulator (API 27 for example). Does it work for you? Can you please share the full code? Maybe in Github?","2020-02-06 08:16:50","","878126","CC BY-SA 4.0"
"106287009","60079472","0","@androiddeveloper [This answer](https://stackoverflow.com/a/47371829/6759241) refers to the actual code Google uses in their Alarm Clock app, I don't know if you're going to get any better than that.","2020-02-06 13:23:55","","6759241","CC BY-SA 4.0"
"106346803","60114639","4","I can't believe this question has been closed. Many times SO fails as the engine to help.","2020-02-08 15:51:17","","811785","CC BY-SA 4.0"
"106346857","60114639","4","Facing the exactly same issue. All of our automated Selenium code is broken. And we can't downgrade because of a lot of complexities.","2020-02-08 15:54:57","","811785","CC BY-SA 4.0"
"106421638","60150749","0","Can we have a full example so we know what we're dealing with?","2020-02-11 12:43:51","","10795151","CC BY-SA 4.0"
"106430348","60150749","0","@Someprogrammerdude `-Werror` is usually a bad idea unless done very selectively. It’s OK enough to turn it on during development/CI, but never turn it on by default in a build. You’ll just make it a pain in the ass to use your project for everyone using slightly different setups where you might get warnings the devs didn’t see.","2020-02-11 16:40:40","","938694","CC BY-SA 4.0"
"106440556","60150749","0","@Cubic Those build issues should then be reported to the developers in a perfect world.","2020-02-11 23:32:09","","10795151","CC BY-SA 4.0"
"106857758","60079472","0","@BladeCoder I already made a similar test, by using an easier method: use the framework ""getNextAlarmClock()"" function to get when is the nearest alarm to be triggered: https://issuetracker.google.com/issues/150080941 (has sample too) . And indeed it gets reset. But somehow, as I wrote, some apps overcome this and it doesn't matter for them if I remove from recent tasks. That's why I asked this question. Why does it get reset (even on emulator and Pixel device) and how can I overcome it?","2020-02-26 00:28:15","","878126","CC BY-SA 4.0"
"106904623","60286204","0","Seems like a little old bug. Check https://stackoverflow.com/q/35519511/7183675, https://stackoverflow.com/q/25600332/7183675 and https://stackoverflow.com/q/25064937/7183675","2020-02-27 10:22:15","","7183675","CC BY-SA 4.0"
"107482959","60565299","0","That's clear. Thanks. That library can be made to accept InputStream but the issues will remain. Even Apktool which, I believe, is the gold standard of this type of application has issues and recent ones.","2020-03-19 01:13:02","","6287910","CC BY-SA 4.0"
"107563264","60565299","0","I see two issues: 1) Getting a reliable unzipping methodology for input streams (but that's not the question) and 2) adapting an open source APK unpacker to run on Android. All the unpackers I have looked at work with input streams anyway due to the nature of APKs so they could be adapted. Unfortunately, the simple ones aren't robust and the robust ones do many other things and are involved. It's doable, IMO, but it will be a job. If you are looking to extract just a few manifest entries, though, that would be more aproachable.","2020-03-22 04:16:04","","6287910","CC BY-SA 4.0"
"108120970","61114929","0","@MilesBudnek Hmm.. I guess this question is then equivalent to ""how to detect existence of an enum"".  Unfortunately the solution in [How to detect existence of a class](https://stackoverflow.com/questions/10711952/how-to-detect-existence-of-a-class-using-sfinae) only works for classes, not enums","2020-04-09 07:23:37","","1505939","CC BY-SA 4.0"
"108195743","61151278","0","@LorenPechtel its helpful with logging to have some context attributes/variables around the logs. thats where not using the result is helpful.","2020-04-11 15:41:53","","23528","CC BY-SA 4.0"
"108227259","61177302","0","@Marshall would approve of this question.","2020-04-12 20:15:29","","2069064","CC BY-SA 4.0"
"108246839","61177302","0","@cpplearner: That at least somewhat makes sense, as assignment is a property that proxy references and values are expected to share.","2020-04-13 13:32:31","","734069","CC BY-SA 4.0"
"108395590","60583049","0","@Brad I added a full answer in why this is not possible with the current state of browsers","2020-04-17 13:40:46","","4734657","CC BY-SA 4.0"
"108406156","61278180","0","I don't see how from https://eel.is/c++draft/lex.fcon and https://eel.is/c++draft/lex.ext `f.T` can be considered as udl.","2020-04-17 19:06:34","","2684539","CC BY-SA 4.0"
"108406985","61278180","0","Msvc accepts the code [Demo](https://godbolt.org/z/S_5jur). Surprising if only msvc is right...","2020-04-17 19:34:47","","2684539","CC BY-SA 4.0"
"108616243","61398801","1","If they don't yet, I imagine they will soon.","2020-04-23 23:57:31","","636009","CC BY-SA 4.0"
"108831597","61521819","0","Isn’t there a performance counter for SMIs?","2020-04-30 13:19:05","","8422330","CC BY-SA 4.0"
"108831689","61521819","0","@prl: yes, I think so.  If I actually wrote a bootloader that programmed the perf counters, and collected + printed them after a test run, and then rebooted my desktop to run it, I could find out an answer for my own desktop.  Obviously can't use `perf` because Linux isn't booted yet.  [Evaluating SMI (System Management Interrupt) latency on Linux-CentOS/Intel machine](https://stackoverflow.com/a/57961772) has some details on how you can count SMIs.","2020-04-30 13:21:35","","224132","CC BY-SA 4.0"
"108831946","61521819","1","@prl: actually it's easier to count SMIs: apparently there's an MSR, not a perf counter, so just RDMSR for `MSR_SMI_COUNT=0x34` without having to program a counter first.","2020-04-30 13:28:55","","224132","CC BY-SA 4.0"
"108831957","61521819","0","That’s much easier than my other idea, which is to use the techniques described in section 34.15 to detect SMIs.","2020-04-30 13:29:12","","8422330","CC BY-SA 4.0"
"108844251","61531317","0","Since there are so many questions on the JavaFX tag about loading resources, I posted this Q & A as a community wiki. Please edit either the question or answer if you feel they can be improved.","2020-04-30 19:33:25","","2189127","CC BY-SA 4.0"
"108849299","61521819","0","Despite the patent you found I don't see SMM emulation of VGA being practical for anything other than onboard video, and even that it's dubious.  Nvidia, AMD, and Intel (and others) all have working VGA implementations, both on the silicon and option ROM side, that they just need to cut and paste into new implementations. Implementing SMM emulation would be much more expensive and not really get them anything.","2020-04-30 23:08:28","","3826372","CC BY-SA 4.0"
"108868385","61531317","3","excellent idea and answer :) Added to faq in tag wiki so we can easily find it for dupe closures.","2020-05-01 15:42:35","","203657","CC BY-SA 4.0"
"109263685","61772822","2","To recreate that error message, try `for (let val of (function () {})()) { }` - you're not *calling* the function in your example.","2020-05-13 11:04:18","","3001761","CC BY-SA 4.0"
"109263804","61772822","0","I suspect it could be a remnant of some proposal that allowed to pass generator functions instead of generators somewhere where iterators only are accepted now. @jonrsharpe Thanks, this triggers the error indeed.","2020-05-13 11:08:16","","3731501","CC BY-SA 4.0"
